competition_level,simulation_id,policy,efficiency_score,overall_match_rate,total_rounds,policy_matches,policy_unmatches,policy_total_agents,policy_match_rate,avg_quality,avg_rounds_matched,avg_rounds_all
Competition 0.5,47,Greedy,0.8827323582186931,1.0,40,5,0,5,1.0,6.701937196325206,1.0,1.0
Competition 0.5,47,Threshold_6,0.8827323582186931,1.0,40,5,0,5,1.0,7.867474979161665,1.8,1.8
Competition 0.5,47,Threshold_8,0.8827323582186931,1.0,40,5,0,5,1.0,8.694561724390189,2.0,2.0
Competition 0.5,47,Optimal_Stopping,0.8827323582186931,1.0,40,5,0,5,1.0,8.003735123222178,15.4,15.4
Competition 0.5,48,Greedy,0.9067462945376409,1.0,40,5,0,5,1.0,6.126694091203155,1.0,1.0
Competition 0.5,48,Threshold_6,0.9067462945376409,1.0,40,5,0,5,1.0,7.900975561177008,2.2,2.2
Competition 0.5,48,Threshold_8,0.9067462945376409,1.0,40,5,0,5,1.0,6.117346574490572,17.2,17.2
Competition 0.5,48,Optimal_Stopping,0.9067462945376409,1.0,40,5,0,5,1.0,7.963406422520398,19.8,19.8
Competition 0.5,49,Greedy,0.8438286546634701,1.0,40,5,0,5,1.0,4.027670631848116,1.0,1.0
Competition 0.5,49,Threshold_6,0.8438286546634701,1.0,40,5,0,5,1.0,8.058849325348413,2.6,2.6
Competition 0.5,49,Threshold_8,0.8438286546634701,1.0,40,5,0,5,1.0,8.572166196904615,19.2,19.2
Competition 0.5,49,Optimal_Stopping,0.8438286546634701,1.0,40,5,0,5,1.0,4.656144029553171,40.0,40.0
Competition 0.5,50,Greedy,0.9190963047996378,1.0,40,5,0,5,1.0,5.9436198242879055,1.0,1.0
Competition 0.5,50,Threshold_6,0.9190963047996378,1.0,40,5,0,5,1.0,7.600021085560185,1.4,1.4
Competition 0.5,50,Threshold_8,0.9190963047996378,1.0,40,5,0,5,1.0,9.279196875101444,4.6,4.6
Competition 0.5,50,Optimal_Stopping,0.9190963047996378,1.0,40,5,0,5,1.0,8.01950823465782,21.4,21.4
Competition 0.5,51,Greedy,0.9182894881895912,1.0,40,5,0,5,1.0,5.621962503751223,1.0,1.0
Competition 0.5,51,Threshold_6,0.9182894881895912,1.0,40,5,0,5,1.0,7.552218805259136,2.2,2.2
Competition 0.5,51,Threshold_8,0.9182894881895912,1.0,40,5,0,5,1.0,8.97103479096127,2.6,2.6
Competition 0.5,51,Optimal_Stopping,0.9182894881895912,1.0,40,5,0,5,1.0,8.336086417427934,14.4,14.4
Competition 0.5,52,Greedy,0.9161549133512658,1.0,40,5,0,5,1.0,4.702397548951783,1.0,1.0
Competition 0.5,52,Threshold_6,0.9161549133512658,1.0,40,5,0,5,1.0,7.833932291814993,4.4,4.4
Competition 0.5,52,Threshold_8,0.9161549133512658,1.0,40,5,0,5,1.0,7.873846851980437,13.0,13.0
Competition 0.5,52,Optimal_Stopping,0.9161549133512658,1.0,40,5,0,5,1.0,6.252410570605049,21.0,21.0
Competition 0.5,53,Greedy,0.9186941147404823,1.0,40,5,0,5,1.0,3.963694854916325,1.0,1.0
Competition 0.5,53,Threshold_6,0.9186941147404823,1.0,40,5,0,5,1.0,8.064037631649168,2.0,2.0
Competition 0.5,53,Threshold_8,0.9186941147404823,1.0,40,5,0,5,1.0,7.72449339458891,11.4,11.4
Competition 0.5,53,Optimal_Stopping,0.9186941147404823,1.0,40,5,0,5,1.0,6.640343772021419,22.4,22.4
Competition 0.5,54,Greedy,0.8533789616895863,1.0,40,5,0,5,1.0,4.552668679756276,1.0,1.0
Competition 0.5,54,Threshold_6,0.8533789616895863,1.0,40,5,0,5,1.0,8.459856070866499,2.0,2.0
Competition 0.5,54,Threshold_8,0.8533789616895863,1.0,40,5,0,5,1.0,9.257331906580763,2.4,2.4
Competition 0.5,54,Optimal_Stopping,0.8533789616895863,1.0,40,5,0,5,1.0,7.711464401004589,18.0,18.0
Competition 0.5,55,Greedy,0.9370435722678245,1.0,40,5,0,5,1.0,7.606824838790992,1.0,1.0
Competition 0.5,55,Threshold_6,0.9370435722678245,1.0,40,5,0,5,1.0,8.219617484018073,3.4,3.4
Competition 0.5,55,Threshold_8,0.9370435722678245,1.0,40,5,0,5,1.0,7.9431357434944,12.6,12.6
Competition 0.5,55,Optimal_Stopping,0.9370435722678245,1.0,40,5,0,5,1.0,5.923432963763789,26.6,26.6
Competition 0.5,56,Greedy,0.9119632962184175,1.0,40,5,0,5,1.0,6.822036904989917,1.0,1.0
Competition 0.5,56,Threshold_6,0.9119632962184175,1.0,40,5,0,5,1.0,8.134258773924035,2.6,2.6
Competition 0.5,56,Threshold_8,0.9119632962184175,1.0,40,5,0,5,1.0,7.698620844405616,10.4,10.4
Competition 0.5,56,Optimal_Stopping,0.9119632962184175,1.0,40,5,0,5,1.0,5.723629023546833,28.8,28.8
Competition 0.5,57,Greedy,0.9072995231029001,1.0,40,5,0,5,1.0,4.7395738332175466,1.0,1.0
Competition 0.5,57,Threshold_6,0.9072995231029001,1.0,40,5,0,5,1.0,8.300856926609542,1.4,1.4
Competition 0.5,57,Threshold_8,0.9072995231029001,1.0,40,5,0,5,1.0,7.33883352415276,18.0,18.0
Competition 0.5,57,Optimal_Stopping,0.9072995231029001,1.0,40,5,0,5,1.0,9.0327117260649,14.4,14.4
